"","Start_Time","End_Time","Duration","Subject","Behavior","Behavioral category","Modifier 1","Comment"
"1",556.947,557.946,0.999,"R2","Touching","Distance","Panel K",""
"2",558.444,559.695,1.251,"R2","Touching","Distance","Panel M",""
"3",559.96,560.713,0.753,"R3","Touching","Distance","Panel L",""
"4",561.693,562.694,1.001,"R2","Touching","Distance","Panel M,Panel L,Panel A",""
"5",565.72,565.967,0.247,"R3","Touching","Distance","Panel M",""
"6",566.201,567.221,1.02,"Donor","Touching","Distance","Panel O",""
"7",566.966,567.469,0.503,"R3","Touching","Distance","Panel N",""
"8",570.712,571.458,0.746,"R2","Touching","Distance","Panel I,Panel H",""
"9",573.471,574.97,1.499,"Donor","Touching","Distance","Panel A",""
"10",586.492,586.993,0.501,"R3","Touching","Distance","Panel I",""
"11",587.471,588.219,0.748,"Donor","Touching","Distance","Panel E,Panel D",""
"12",587.961,588.995,1.034,"R2","Touching","Distance","Panel L",""
"13",588.996,590.25,1.254,"R2","Touching","Distance","Panel M,Panel L",""
"14",600.24,601.255,1.015,"R2","Touching","Distance","Panel P,Panel A",""
"15",602.255,603.767,1.512,"R2","Touching","Distance","Panel P,Panel A",""
"16",612.971,613.469,0.498,"Donor","Touching","Distance","Panel N",""
"17",617.768,618.764,0.996,"Donor","Touching","Distance","Panel M,Panel L",""
"18",619.025,620.03,1.005,"Donor","Touching","Distance","Panel L",""
"19",634.514,635.764,1.25,"Donor","Touching","Distance","Panel E,Panel D",""
"20",646.935,647.438,0.503,"R4","Touching","Distance","Panel P",""
"21",654.556,655.808,1.252,"R2","Touching","Distance","Panel O",""
"22",659.809,661.815,2.006,"R3","Touching","Distance","Panel M",""
"23",662.812,665.567,2.755,"R3","Touching","Distance","Panel M,Panel L",""
"24",668.518,669.268,0.75,"Donor","Touching","Distance","Panel O",""
"25",672.313,673.059,0.746,"R2","Touching","Distance","Panel M,Panel L",""
"26",681.768,683.768,2,"Donor","Touching","Distance","Panel M,Panel L",""
"27",684.835,687.591,2.756,"R4","Touching","Distance","Panel M,Panel L",""
"28",707.01,707.71,0.7,"R2","Touching","Distance","Panel P,Panel A",""
"29",711.615,712.377,0.762,"R2","Touching","Distance","Panel M,Panel L",""
"30",733.533,733.637,0.104,"Donor","Touching","Distance","Panel G",""
"31",749.377,749.626,0.249,"R1","Touching","Distance","Panel I,Panel H",""
"32",749.627,751.128,1.501,"R1","Touching","Distance","Panel I",""
"33",752.13,753.132,1.002,"R1","Touching","Distance","Panel H",""
"34",752.131,752.629,0.498,"R2","Touching","Distance","Panel A",""
"35",758.661,759.158,0.497,"R2","Touching","Distance","Panel P,Panel A",""
"36",762.674,763.674,1,"R2","Touching","Distance","Panel A",""
"37",787.13,787.625,0.495,"R3","Touching","Distance","Panel I,Panel H",""
"38",794.169,794.672,0.503,"R2","Touching","Distance","Panel I,Panel H",""
"39",795.697,796.197,0.5,"R4","Touching","Distance","Panel P,Panel A",""
"40",798.876,803.374,4.498,"R3","Touching","Distance","Panel E,Panel D",""
"41",814.642,815.137,0.495,"Donor","Touching","Distance","Panel I",""
"42",815.138,816.642,1.504,"Donor","Touching","Distance","Panel I,Panel H",""
"43",820.642,822.642,2,"Donor","Touching","Distance","Panel I",""
"44",824.98,825.73,0.75,"Donor","Touching","Distance","Panel I",""
"45",825.979,826.227,0.248,"R4","Touching","Distance","Panel H",""
"46",833.227,834.225,0.998,"Donor","Touching","Distance","Panel L,Panel K",""
"47",839.99,840.494,0.504,"R2","Touching","Distance","Panel O",""
"48",842.99,843.242,0.252,"Donor","Touching","Distance","Panel P,Panel A",""
"49",845.243,846.242,0.999,"Donor","Touching","Distance","Panel O",""
"50",856.011,856.261,0.25,"R2","Touching","Distance","Panel F",""
"51",880.489,880.99,0.501,"R4","Touching","Distance","Panel A",""
"52",882.234,883.491,1.257,"R4","Touching","Distance","Panel P,Panel A",""
"53",893.375,894.627,1.252,"R1","Touching","Distance","Panel I",""
"54",905.373,905.877,0.504,"R3","Touching","Distance","Panel I,Panel H",""
"55",908.123,908.623,0.5,"R1","Touching","Distance","Panel P,Panel A",""
"56",908.489,909.242,0.753,"Donor","Touching","Distance","Panel O",""
"57",929.992,930.992,1,"Donor","Touching","Distance","Panel O",""
"58",931.99,932.987,0.997,"Donor","Touching","Distance","Panel O",""
"59",938.873,945.128,6.255,"R1","Touching","Distance","Panel E,Panel D",""
"60",945.853,946.103,0.25,"R1","Touching","Distance","Panel B",""
"61",947.99,948.973,0.983,"R4","Touching","Distance","Panel I,Panel H",""
"62",948.974,949.99,1.016,"R4","Touching","Distance","Panel H",""
"63",949.868,956.866,6.998,"R1","Touching","Distance","Panel O",""
"64",979.989,981.742,1.753,"Donor","Touching","Distance","Panel O",""
"65",980.522,981.021,0.499,"R2","Touching","Distance","Panel I,Panel H",""
"66",981.022,981.525,0.503,"R2","Touching","Distance","Panel I",""
"67",981.526,982.026,0.5,"R2","Touching","Distance","Panel J",""
"68",987.026,987.777,0.751,"R2","Touching","Distance","Panel O",""
"69",993.406,993.908,0.502,"R2","Touching","Distance","Panel P,Panel A",""
"70",1002.74,1003.488,0.748,"Donor","Touching","Distance","Panel P,Panel A",""
"71",1019.241,1020.486,1.245,"Donor","Touching","Distance","Panel I,Panel H",""
"72",1020.487,1023.993,3.506,"Donor","Touching","Distance","Panel I",""
"73",1024.127,1026.626,2.499,"R3","Touching","Distance","Panel E,Panel D",""
"74",1026.238,1026.737,0.499,"R4","Touching","Distance","Panel M,Panel L",""
"75",1029.237,1029.736,0.499,"R4","Touching","Distance","Panel H",""
"76",1034.874,1035.874,1,"R3","Touching","Distance","Panel I,Panel H",""
"77",1037.624,1038.621,0.997,"R3","Touching","Distance","Panel G",""
"78",1044.739,1063.739,19,"R4","Touching","Distance","Panel M,Panel L",""
"79",1045.447,1045.949,0.502,"R1","Touching","Distance","Panel I,Panel H",""
"80",1063.74,1065.736,1.996,"R4","Touching","Distance","Panel I",""
"81",1073.992,1075.489,1.497,"R4","Touching","Distance","Panel A",""
"82",1081.661,1081.91,0.249,"R2","Touching","Distance","Panel I,Panel H",""
"83",1081.911,1086.906,4.995,"R2","Touching","Distance","Panel H",""
"84",1086.907,1087.907,1,"R2","Touching","Distance","Panel I",""
"85",1114.516,1114.773,0.257,"R3","Touching","Distance","Panel C",""
"86",1114.774,1117.514,2.74,"R3","Touching","Distance","Panel B",""
"87",1117.515,1117.774,0.259,"R3","Touching","Distance","Panel C",""
"88",1156.808,1157.058,0.25,"R3","Touching","Distance","Panel I",""
"89",1177.01,1177.758,0.748,"R2","Touching","Distance","Panel F",""
"90",1183.491,1185.491,2,"R4","Touching","Distance","Panel I",""
"91",1185.988,1187.989,2.001,"R4","Touching","Distance","Panel H",""
"92",1187.99,1190.491,2.501,"R4","Touching","Distance","Panel I,Panel H",""
"93",1194.206,1194.708,0.502,"R1","Touching","Distance","Panel E,Panel D",""
"94",1223.622,1223.873,0.251,"Donor","Touching","Distance","Panel I",""
"95",1224.625,1225.125,0.5,"Donor","Touching","Distance","Panel H",""
"96",1230.62,1231.622,1.002,"Donor","Touching","Distance","Panel G",""
"97",1231.63,1232.38,0.75,"R3","Touching","Distance","Panel G",""
"98",1239.875,1241.375,1.5,"Donor","Touching","Distance","Panel I",""
"99",1246.957,1249.458,2.501,"R1","Touching","Distance","Panel E,Panel D",""
"100",1247.375,1248.37,0.995,"Donor","Touching","Distance","Panel I,Panel H",""
"101",1250.874,1251.375,0.501,"Donor","Touching","Distance","Panel I",""
"102",1252.875,1257.622,4.747,"Donor","Touching","Distance","Panel I",""
"103",1257.133,1261.63,4.497,"R3","Touching","Distance","Panel P",""
"104",1261.631,1262.635,1.004,"R3","Touching","Distance","Panel P,Panel A",""
"105",1262.636,1264.387,1.751,"R3","Touching","Distance","Panel A",""
"106",1263.374,1264.92,1.546,"Donor","Touching","Distance","Panel M,Panel L",""
"107",1264.388,1265.136,0.748,"R3","Touching","Distance","Panel P,Panel A",""
"108",1265.137,1275.128,9.991,"R3","Touching","Distance","Panel A",""
"109",1281.384,1284.636,3.252,"R3","Touching","Distance","Panel E,Panel D",""
"110",1295.915,1296.918,1.003,"Donor","Touching","Distance","Panel I,Panel H",""
"111",1302.982,1303.735,0.753,"R4","Touching","Distance","Panel D",""
"112",1304.984,1307.986,3.002,"R4","Touching","Distance","Panel B",""
"113",1308.985,1309.482,0.497,"R4","Touching","Distance","Panel B",""
"114",1316.671,1319.473,2.802,"Donor","Touching","Distance","Panel E,Panel D",""
"115",1319.474,1322.474,3,"Donor","Touching","Distance","Panel D",""
"116",1325.96,1326.212,0.252,"R3","Touching","Distance","Panel A",""
"117",1335.007,1336.508,1.501,"R2","Touching","Distance","Panel H",""
"118",1336.509,1337.508,0.999,"R2","Touching","Distance","Panel I,Panel H",""
"119",1338.756,1339.758,1.002,"R2","Touching","Distance","Panel H,Panel G",""
"120",1348.758,1350.757,1.999,"R2","Touching","Distance","Panel J,Panel I",""
